round_number,round_name,coder,unit_id,unit_text,theme,code,scope,start_offset,end_offset,quote,memo,created_at,account,account_confidence,account_duration,account_suspension,accountsOrder,aor,condition,num_messages,user_finish_id,user_id
1,round 1,Alireza,1d658f73-1697-43b9-95c2-df6617082c3c::3,Hate speech,Type of offensiveness,Hate speech and offensive language,span,0,11,Hate speech,,Tue Sep 01 2026 01:33:14 GMT+0000 (Coordinated Universal Time),3,5,3.419,Suspend,51432,0.5,control,1,24225b,1d658f73-1697-43b9-95c2-df6617082c3c
1,round 1,Alireza,1e990395-3db9-47d5-a2ae-f030a438b729::1,Violation of hate speech used in message.,Type of offensiveness,Hate speech and offensive language,span,0,29,Violation of hate speech used,,Sun Sep 06 2026 17:24:03 GMT+0000 (Coordinated Universal Time),1,5,3.157,Suspend,24513,1,control,1,05af12,1e990395-3db9-47d5-a2ae-f030a438b729
1,round 1,Alireza,1e990395-3db9-47d5-a2ae-f030a438b729::4,Threatening another person to commit violence/murder with a gun.,Type of offensiveness,Threats of violence,span,0,64,Threatening another person to commit violence/murder with a gun.,,Sun Sep 06 2026 19:00:20 GMT+0000 (Coordinated Universal Time),4,5,2.789,Suspend,24513,0.25,control,3,05af12,1e990395-3db9-47d5-a2ae-f030a438b729
1,round 1,Alireza,1eab6aa4-af12-4ebc-9267-9a9a46554aa8::1,"use of insulting words, use of threatening words and also use of dehumanizing words. showed signs of an animal hater and one that can kill a fellow individual.",Type of offensiveness,Hate speech and offensive language,span,0,23,"use of insulting words,",,Mon Sep 07 2026 19:01:55 GMT+0000 (Coordinated Universal Time),1,5,5.108,Suspend,35142,1,control,3,890cb4,1eab6aa4-af12-4ebc-9267-9a9a46554aa8
1,round 1,Alireza,1eab6aa4-af12-4ebc-9267-9a9a46554aa8::1,"use of insulting words, use of threatening words and also use of dehumanizing words. showed signs of an animal hater and one that can kill a fellow individual.",Type of offensiveness,Threats of violence,span,31,48,threatening words,,Mon Sep 07 2026 19:01:58 GMT+0000 (Coordinated Universal Time),1,5,5.108,Suspend,35142,1,control,3,890cb4,1eab6aa4-af12-4ebc-9267-9a9a46554aa8
1,round 1,Alireza,1eab6aa4-af12-4ebc-9267-9a9a46554aa8::1,"use of insulting words, use of threatening words and also use of dehumanizing words. showed signs of an animal hater and one that can kill a fellow individual.",Type of offensiveness,Hate speech and offensive language,span,65,84,dehumanizing words.,,Mon Sep 07 2026 19:02:02 GMT+0000 (Coordinated Universal Time),1,5,5.108,Suspend,35142,1,control,3,890cb4,1eab6aa4-af12-4ebc-9267-9a9a46554aa8
1,round 1,Alireza,1eab6aa4-af12-4ebc-9267-9a9a46554aa8::1,"use of insulting words, use of threatening words and also use of dehumanizing words. showed signs of an animal hater and one that can kill a fellow individual.",Type of offensiveness,Death wish,span,85,159,showed signs of an animal hater and one that can kill a fellow individual.,,Mon Sep 07 2026 19:02:08 GMT+0000 (Coordinated Universal Time),1,5,5.108,Suspend,35142,1,control,3,890cb4,1eab6aa4-af12-4ebc-9267-9a9a46554aa8
1,round 1,Alireza,1eab6aa4-af12-4ebc-9267-9a9a46554aa8::4,"although there was use of a certain degree of bad words in the third message, the first two messages were kind",Patterns of behavior,One-off offensive,span,0,77,"although there was use of a certain degree of bad words in the third message,",,Mon Sep 07 2026 19:03:42 GMT+0000 (Coordinated Universal Time),4,3.96,7.623,Do not suspend,35142,0.25,control,6,890cb4,1eab6aa4-af12-4ebc-9267-9a9a46554aa8
1,round 1,Alireza,1eab6aa4-af12-4ebc-9267-9a9a46554aa8::4,"although there was use of a certain degree of bad words in the third message, the first two messages were kind",,positive content,span,78,110,the first two messages were kind,,Mon Sep 07 2026 19:04:02 GMT+0000 (Coordinated Universal Time),4,3.96,7.623,Do not suspend,35142,0.25,control,6,890cb4,1eab6aa4-af12-4ebc-9267-9a9a46554aa8
1,round 1,Alireza,1eab6aa4-af12-4ebc-9267-9a9a46554aa8::5,"there was no use of bad words, the user spoke in an understanding manner and made points without hurting or insulting anyone.",Type of offensiveness,No offensive content,unit,,,,,Tue Sep 01 2026 00:55:20 GMT+0000 (Coordinated Universal Time),5,5,8.054,Do not suspend,35142,0,control,3,890cb4,1eab6aa4-af12-4ebc-9267-9a9a46554aa8
1,round 1,Alireza,20495eb2-b21b-4955-8a97-0020aae12c29::1,Every message used extremely offensive language and one threatened an animal.,Type of offensiveness,Hate speech and offensive language,span,0,47,Every message used extremely offensive language,,Sun Sep 06 2026 18:59:46 GMT+0000 (Coordinated Universal Time),1,5,4.699,Suspend,14325,1,ai,3,1de0d4,20495eb2-b21b-4955-8a97-0020aae12c29
1,round 1,Alireza,20495eb2-b21b-4955-8a97-0020aae12c29::1,Every message used extremely offensive language and one threatened an animal.,Type of offensiveness,Extreme offensive,span,19,47,extremely offensive language,,Sun Sep 06 2026 18:59:52 GMT+0000 (Coordinated Universal Time),1,5,4.699,Suspend,14325,1,ai,3,1de0d4,20495eb2-b21b-4955-8a97-0020aae12c29
1,round 1,Alireza,20495eb2-b21b-4955-8a97-0020aae12c29::1,Every message used extremely offensive language and one threatened an animal.,Type of offensiveness,Threats of violence,span,56,77,threatened an animal.,,Sun Sep 06 2026 18:59:55 GMT+0000 (Coordinated Universal Time),1,5,4.699,Suspend,14325,1,ai,3,1de0d4,20495eb2-b21b-4955-8a97-0020aae12c29
1,round 1,Alireza,208559c2-6d8a-4abe-a680-1ff1d4748c20::2,"Most of the account message where offensive , its appears to be a standard behavior of the account.",Patterns of behavior,Majority offesnive,span,0,43,Most of the account message where offensive,,Tue Sep 01 2026 01:30:49 GMT+0000 (Coordinated Universal Time),2,5,3.827,Suspend,13425,0.75,crowd,4,450041,208559c2-6d8a-4abe-a680-1ff1d4748c20
1,round 1,Alireza,208559c2-6d8a-4abe-a680-1ff1d4748c20::2,"Most of the account message where offensive , its appears to be a standard behavior of the account.",Patterns of behavior,Consistent offensive behavior,span,46,99,its appears to be a standard behavior of the account.,,Tue Sep 01 2026 01:30:53 GMT+0000 (Coordinated Universal Time),2,5,3.827,Suspend,13425,0.75,crowd,4,450041,208559c2-6d8a-4abe-a680-1ff1d4748c20
1,round 1,Alireza,209a2e51-8511-44f6-8bc1-5df8aff3fa19::1,They are very vulgar words that deserve suspending the account,Type of offensiveness,Hate speech and offensive language,span,0,62,They are very vulgar words that deserve suspending the account,,Tue Sep 01 2026 01:30:03 GMT+0000 (Coordinated Universal Time),1,5,2.856,Suspend,24153,1,ai,1,6753de,209a2e51-8511-44f6-8bc1-5df8aff3fa19
1,round 1,Alireza,20f5aa5b-c33a-4182-ad89-199eb2a2e21b::1,This account used threatening language.,Type of offensiveness,Threats of violence,span,0,39,This account used threatening language.,,Mon Sep 07 2026 19:01:34 GMT+0000 (Coordinated Universal Time),1,5,4.514,Suspend,53214,1,ai,2,b71fb0,20f5aa5b-c33a-4182-ad89-199eb2a2e21b
1,round 1,Alireza,20f7025c-e5c6-4a55-95d1-23945085367d::4,"I chose not to suspend Account 1 because, while some messages were strong in tone, they did not contain language that directly posed a threat, except for Message 3. Message 3 is offensive and would require further act.",Justifications,Not too offensive,span,42,141,"while some messages were strong in tone, they did not contain language that directly posed a threat",,Mon Sep 07 2026 19:06:39 GMT+0000 (Coordinated Universal Time),4,4.4,9.771,Do not suspend,41253,0.25,ai,5,6d700d,20f7025c-e5c6-4a55-95d1-23945085367d
1,round 1,Alireza,20f7025c-e5c6-4a55-95d1-23945085367d::4,"I chose not to suspend Account 1 because, while some messages were strong in tone, they did not contain language that directly posed a threat, except for Message 3. Message 3 is offensive and would require further act.",Patterns of behavior,One-off offensive,span,143,218,except for Message 3. Message 3 is offensive and would require further act.,,Mon Sep 07 2026 19:06:16 GMT+0000 (Coordinated Universal Time),4,4.4,9.771,Do not suspend,41253,0.25,ai,5,6d700d,20f7025c-e5c6-4a55-95d1-23945085367d
1,round 1,Alireza,22e5ece5-b743-45c4-972e-77b1ae4b37e9::3,"I went through 5 different messages for this account and the person insulted multiple people for their sexuality, looks, and race. The things said in these messages are unacceptable and the account would deserve to be suspended.",Patterns of behavior,Consistent offensive behavior,span,0,130,"I went through 5 different messages for this account and the person insulted multiple people for their sexuality, looks, and race.",,Sun Sep 06 2026 19:14:29 GMT+0000 (Coordinated Universal Time),3,5,9.309,Suspend,32541,0.5,control,5,13a429,22e5ece5-b743-45c4-972e-77b1ae4b37e9
1,round 1,Alireza,22e5ece5-b743-45c4-972e-77b1ae4b37e9::3,"I went through 5 different messages for this account and the person insulted multiple people for their sexuality, looks, and race. The things said in these messages are unacceptable and the account would deserve to be suspended.",Type of offensiveness,Hate speech and offensive language,span,77,130,"multiple people for their sexuality, looks, and race.",,Sun Sep 06 2026 19:14:34 GMT+0000 (Coordinated Universal Time),3,5,9.309,Suspend,32541,0.5,control,5,13a429,22e5ece5-b743-45c4-972e-77b1ae4b37e9
1,round 1,Alireza,246aa216-be21-4efa-9eff-7f1a95d1d02d::2,It's a death threat.,Type of offensiveness,Death wish,span,1,20,t's a death threat.,,Tue Sep 01 2026 01:36:33 GMT+0000 (Coordinated Universal Time),2,4.98,3.512,Suspend,42153,0.75,control,1,89104e,246aa216-be21-4efa-9eff-7f1a95d1d02d
1,round 1,Alireza,246aa216-be21-4efa-9eff-7f1a95d1d02d::4,It's a death threat.,Type of offensiveness,Death wish,unit,,,,,Tue Sep 01 2026 01:25:02 GMT+0000 (Coordinated Universal Time),4,5,4.194,Suspend,42153,0.25,control,3,89104e,246aa216-be21-4efa-9eff-7f1a95d1d02d
1,round 1,Alireza,2470478f-1b93-4fdd-8841-0a9b0fdde878::2,"Threats of murder, repeated use of the f-slur with genuine hatred.",Type of offensiveness,Threats of violence,span,0,17,Threats of murder,,Tue Sep 01 2026 00:55:47 GMT+0000 (Coordinated Universal Time),2,5,6.113,Suspend,23154,0.75,ai,4,1982a1,2470478f-1b93-4fdd-8841-0a9b0fdde878
1,round 1,Alireza,2470478f-1b93-4fdd-8841-0a9b0fdde878::2,"Threats of murder, repeated use of the f-slur with genuine hatred.",Type of offensiveness,Hate speech and offensive language,span,19,65,repeated use of the f-slur with genuine hatred,,Tue Sep 01 2026 00:55:55 GMT+0000 (Coordinated Universal Time),2,5,6.113,Suspend,23154,0.75,ai,4,1982a1,2470478f-1b93-4fdd-8841-0a9b0fdde878
1,round 1,Alireza,2470478f-1b93-4fdd-8841-0a9b0fdde878::2,"Threats of murder, repeated use of the f-slur with genuine hatred.",Patterns of behavior,Consistent offensive behavior,span,19,27,repeated,,Tue Sep 01 2026 00:56:01 GMT+0000 (Coordinated Universal Time),2,5,6.113,Suspend,23154,0.75,ai,4,1982a1,2470478f-1b93-4fdd-8841-0a9b0fdde878
1,round 1,Alireza,2470478f-1b93-4fdd-8841-0a9b0fdde878::4,You don't just let people make threats of murder on your platform. Period.,Type of offensiveness,Threats of violence,unit,,,,,Sun Sep 06 2026 19:10:21 GMT+0000 (Coordinated Universal Time),4,4.03,5.516,Suspend,23154,0.25,ai,7,1982a1,2470478f-1b93-4fdd-8841-0a9b0fdde878
1,round 1,Alireza,2470478f-1b93-4fdd-8841-0a9b0fdde878::4,You don't just let people make threats of murder on your platform. Period.,Type of offensiveness,Death wish,span,42,66,murder on your platform.,,Sun Sep 06 2026 19:10:25 GMT+0000 (Coordinated Universal Time),4,4.03,5.516,Suspend,23154,0.25,ai,7,1982a1,2470478f-1b93-4fdd-8841-0a9b0fdde878
1,round 1,Alireza,2470478f-1b93-4fdd-8841-0a9b0fdde878::5,"Just seems like a normal person's account, or at least an account that isn't wildly against every TOS known to man.",Patterns of behavior,Normal behavior,span,0,42,"Just seems like a normal person's account,",,Tue Sep 01 2026 02:27:43 GMT+0000 (Coordinated Universal Time),5,5,4.044,Do not suspend,23154,0,ai,7,1982a1,2470478f-1b93-4fdd-8841-0a9b0fdde878
1,round 1,Alireza,26429584-a1a5-43df-9b5c-38d0072a4730::1,i suspended this account because it had nothing but bad messages one after the next and they were very vulgar and offensive,Patterns of behavior,Consistent offensive behavior,span,36,83,had nothing but bad messages one after the next,,Sun Sep 06 2026 17:18:13 GMT+0000 (Coordinated Universal Time),1,4.97,4.403,Suspend,32415,1,crowd,4,07a00c,26429584-a1a5-43df-9b5c-38d0072a4730
